Test number::label,Number of iterations::number,Disagreement::number
366,41,0.0127
367,23,0.0035
368,25,0.012
369,638,0.0019
370,25,0.0112
371,63,0.0063
372,121,0.0088
373,1,0.0032
374,93,0.0084
375,54,0.0049
376,21,0.0113
377,96,0.0239
378,47,0.0544
379,37,0.0011
380,2,0.0
381,1,0.0
382,77,0.0045
383,45,0.0127
384,553,0.0082
385,2,0.0
386,43,0.0223
387,223,0.0042
388,14,0.0265
389,26,0.005
390,2,0.0
391,48,0.0044
392,112,0.0202
393,80,0.0067
394,115,0.011
395,11,0.0053
396,1,0.0
397,49,0.0092
398,1,0.0
399,38,0.0149
400,6,0.0054
401,1,0.0
402,1,0.0
403,1,0.0
404,108,0.0041
405,43,0.0086
406,82,0.0076
407,2,0.0
408,107,0.0224
409,1,0.0
410,19,0.0118
411,52,0.0245
412,104,0.0161
413,44,0.0111
414,2,0.0
415,1100,0.0065
416,142,0.0044
417,50,0.0071
418,56,0.0115
419,27,0.0166
420,24,0.0109
421,34,0.0043
422,358,0.0269
423,52,0.0229
424,1,0.0
425,1,0.0004
426,196,0.0199
427,1,0.0389
428,39,0.0253
429,286,0.0097
430,152,0.0022
431,348,0.022
432,107,0.0109
433,129,0.0131
434,18,0.0382
435,2,0.0
436,135,0.013
437,2,0.0
438,150,0.0132
439,864,0.0057
440,58,0.0023
441,52,0.0334
442,3,0.0075
443,42,0.0013
444,27,0.0173
445,29,0.0194
446,36,0.0347
447,2,0.0
448,24,0.0363
449,19,0.0166
450,74,0.0109
451,2,0.0
452,37,0.0376
453,49,0.042
454,95,0.0097
455,171,0.0108
456,56,0.0162
457,49,0.007
458,1,0.0
459,7,0.0172
460,2,0.0
461,1,0.0057
462,33,0.0189
463,20,0.0026
464,107,0.0017
465,33,0.0433
466,2,0.0
467,27,0.0132
468,108,0.0047
469,165,0.0102
470,1,0.0
471,43,0.0172
472,126,0.0296
473,75,0.0056
474,513,0.0086
475,105,0.0071
476,87,0.0175
477,16,0.0155
478,108,0.0033
479,521,0.0108
480,2,0.0
481,131,0.0083
482,26,0.0031
483,100,0.0105
484,32,0.0288
485,20,0.0147
486,1,0.0003
487,58,0.0233
488,1188,0.0039
489,55,0.0192
490,1,0.0
491,101,0.0046
492,30,0.012
493,3,0.024
494,1,0.0
495,95,0.0113
496,1,0.0
497,1237,0.003
498,1532,0.0004
499,1,0.0
500,18,0.0123
501,49,0.0088
502,25,0.0022
503,55,0.0019
504,61,0.0225
505,21,0.0273
506,47,0.007
507,377,0.0116
508,49,0.0153
509,242,0.0054
510,2,0.0
511,197,0.0075
512,23,0.0105
513,2,0.0
514,2,0.0
515,2,0.0
516,169,0.0036
517,2,0.0
518,31,0.0254
519,77,0.0132
520,583,0.0061
521,71,0.004
522,2,0.0
523,105,0.0194
524,52,0.0205
525,45,0.0045
526,2,0.0
527,1,0.0
528,11,0.0105
529,91,0.0061
530,184,0.0061
531,31,0.0095
532,274,0.0018
533,60,0.0086
534,43,0.0137
535,106,0.0024
536,917,0.0045
537,1,0.0
538,41,0.0032
539,4041,0.0067
540,131,0.0071
541,1757,0.0029
542,27,0.0251
543,47,0.0074
544,87,0.0084
545,20,0.0143
546,46,0.0048
547,1,0.0
548,20,0.0199
549,139,0.0019
550,210,0.0002
551,262,0.0068
552,18,0.0208
553,35,0.006
554,132,0.0124
555,2,0.0
556,2,0.0
557,223,0.0214
558,53,0.0054
559,34,0.0075
560,1,0.0
561,1,0.0
562,59,0.0022
563,2,0.0
564,189,0.0078
565,80,0.0067
566,71,0.0031
567,1,0.0
568,1044,0.0109
569,2,0.0
570,2,0.0
571,24,0.0402
572,32,0.0172
573,36,0.0165
574,25,0.027
575,18,0.0298
576,2,0.0
577,39,0.0115
578,1,0.0
579,17,0.019
580,2,0.0
581,47,0.0232
582,13,0.0405
583,29,0.0148
584,1,0.0
585,71,0.0301
586,90,0.0013
587,74,0.0132
588,2,0.0
589,48,0.0183
590,1040,0.0046
591,22,0.0041
592,2,0.0
593,55,0.0128
594,1,0.0
595,1,0.0
596,2,0.0
597,69,0.0051
598,1,0.0054
599,292,0.0043
600,25,0.0291
601,31,0.0147
602,1,0.0
603,1,0.0
604,115,0.0361
605,11,0.0219
606,1,0.0
607,21,0.0153
608,383,0.0148
609,68,0.0093
610,36,0.0132
611,21,0.0157
612,19,0.0475
613,58,0.0129
614,2,0.0
615,1165,0.0026
616,1,0.0046
617,221,0.0039
618,21,0.0241
619,96,0.0043
620,30,0.0108
621,22,0.029
622,69,0.0087
623,12,0.0278
624,187,0.017
625,1,0.0
626,73,0.0065
627,9,0.0085
628,53,0.01
629,2,0.0
630,65,0.0071
631,373,0.0089
632,87,0.0106
633,2,0.0
634,115,0.0057
635,146,0.0015
636,59,0.0046
637,2,0.0
638,83,0.0048
639,8714,0.0046
640,1,0.0
641,10,0.0086
642,315,0.0025
643,6,0.0149
644,32,0.0017
645,157,0.0116
646,46,0.0012
647,54,0.014
648,347,0.0108
649,1,0.0028
650,93,0.0136
651,722,0.0117
652,47,0.0072
653,93,0.021
654,48,0.0036
655,2,0.0
656,51,0.0096
657,21,0.0097
658,1180,0.0036
659,97,0.0172
660,24,0.026
661,2,0.0
662,24,0.0015
663,9,0.0057
664,304,0.0062
665,19,0.0177
666,1,0.0
667,57,0.0098
668,312,0.0134
669,59,0.0328
670,1,0.0
671,24,0.0275
672,1,0.0
673,16,0.0416
674,22,0.0406
675,47,0.017
676,105,0.0077
677,67,0.0131
678,64,0.0057
679,1,0.0
680,1,0.0
681,1,0.0
682,2,0.0
683,101,0.0121
684,2,0.0
685,161,0.0178
686,1,0.0
687,162,0.0221
688,1,0.0
689,200,0.0072
690,1,0.0
691,564,0.0031
692,102,0.0239
693,132,0.0288
694,174,0.016
695,27,0.0141
696,303,0.034
697,105,0.0129
698,2,0.0
699,877,0.0035
700,168,0.0024
701,90,0.0144
702,12,0.0105
703,1,0.0
704,55,0.0071
705,1,0.0
706,59,0.0173
707,118,0.0089
708,24,0.012
709,106,0.0248
710,1,0.0
711,85,0.003
712,77,0.0495
713,312,0.0045
714,91,0.0105
715,226,0.0104
716,39,0.012
717,2,0.0
718,28,0.0166
719,55,0.007
720,123,0.0086
721,40,0.0247
722,56,0.0352
723,194,0.0065
724,32,0.002
725,1,0.0
726,1,0.0
727,103,0.0171
728,74,0.0136
729,110,0.0048
730,1,0.0
731,11,0.0073
732,64,0.0076
733,20,0.023
734,151,0.0069
735,2,0.0
736,8,0.0203
737,35,0.0187
738,1,0.0
739,2,0.0
740,58,0.0262
741,108,0.002
742,2,0.0
743,2,0.0
744,1,0.0
745,1,0.0009
746,2,0.0
747,30,0.0125
748,125,0.007
749,97,0.0294
750,106,0.0131
751,69,0.0269
752,47,0.0256
753,9,0.0331
754,1,0.0
755,41,0.0073
756,2,0.0
757,1,0.0
758,199,0.0068
759,229,0.0163
760,195,0.0011
761,2,0.0
762,269,0.0053
763,43,0.0125
764,1,0.0
765,37,0.01
766,5250,0.0189
767,2,0.0
768,124,0.0092
769,185,0.0027
770,1,0.0
771,25,0.0354
772,144,0.0073
773,1,0.0009
774,93,0.0157
775,1589,0.0049
776,105,0.0167
777,163,0.0072
778,1,0.0
779,207,0.0077
780,4,0.0204
781,34,0.0005
782,729,0.0059
783,17,0.0354
784,49,0.013
785,236,0.0245
786,21,0.018
787,30,0.0034
788,31,0.0262
789,2,0.0
790,1,0.0
791,1,0.0
792,2,0.0
793,99,0.0133
794,103,0.0076
795,405,0.0085
796,47,0.0093
797,30,0.0296
798,36,0.0114
799,8,0.0248
800,35,0.0064
801,235,0.0053
802,1,0.0
803,33,0.0183
804,1,0.0
805,1,0.0
806,177,0.0144
807,13,0.0153
808,160,0.0021
809,13,0.0085
810,219,0.0166
811,93,0.0104
812,433,0.0098
813,45,0.0155
814,29,0.0097
815,1,0.0
816,37,0.0323
817,1,0.0
818,56,0.0197
819,18,0.0145
820,1,0.0
821,45,0.0225
822,101,0.0118
823,59,0.0007
824,45,0.0436
825,95,0.0014
826,59,0.0128
827,44,0.03
828,1,0.0243
829,1,0.0
830,114,0.0129
831,6,0.0101
832,36,0.021
833,108,0.0107
834,1,0.0
835,1,0.0006
836,43,0.0015
837,61,0.0125
838,35,0.0262
839,301,0.0142
840,317,0.0204
841,711,0.0099
842,28,0.0369
843,1115,0.0086
844,51,0.0239
845,2,0.0
846,130,0.0021
847,26,0.0342
848,116,0.0136
849,57,0.0152
850,1,0.0
851,17,0.0163
852,32,0.0293
853,1,0.0
854,2,0.0
855,1,0.0
856,101,0.0279
857,43,0.0178
858,24,0.0082
859,2,0.0
860,73,0.0192
861,55,0.0137
862,19,0.0248
863,115,0.007
864,264,0.0032
865,67,0.0065
866,76,0.015
867,17,0.0211
868,2,0.0
869,465,0.0154
870,1,0.0
871,54,0.0235
872,27,0.0142
873,36,0.0211
874,15,0.0597
875,81,0.0162
876,323,0.012
877,30,0.0125
878,41,0.0121
879,52,0.0086
880,2,0.0
881,168,0.0059
882,204,0.0072
883,43,0.0142
884,48,0.0086
885,1,0.0
886,15,0.005
887,53,0.012
888,95,0.012
889,34,0.0139
890,1,0.0
891,1,0.0023
892,33,0.0202
893,1,0.0
894,70,0.0034
895,1,0.0
896,2,0.0
897,1,0.0
898,68,0.0059
899,19,0.0014
900,1,0.0
901,1,0.0
902,200,0.0069
903,68,0.0064
904,27,0.0245
905,57,0.0137
906,91,0.0201
907,1,0.0
908,60,0.0062
909,13,0.0064
910,252,0.0058
911,1,0.0
912,225,0.0132
913,96,0.0047
914,53,0.0055
915,1,0.0
916,2,0.0
917,21,0.0384
918,27,0.0159
919,130,0.0022
920,121,0.0067
921,163,0.0097
922,108,0.0152
923,1,0.0
924,1,0.0
925,147,0.0006
926,99,0.0238
927,1,0.0
928,29,0.0311
929,972,0.0122
930,1,0.0011
931,1,0.0
932,23,0.0216
933,2,0.0
934,12,0.0382
935,51,0.0089
936,109,0.0285
937,196,0.0108
938,86,0.0205
939,11,0.0046
940,5,0.0144
941,24,0.015
942,99,0.005
943,55,0.0266
944,2,0.0
945,190,0.0095
946,657,0.0091
947,1,0.0
948,45,0.0193
949,1,0.0
950,72,0.009
951,34,0.0331
952,1428,0.0131
953,29,0.0048
954,159,0.0035
955,1,0.0
956,1,0.0
957,98,0.0129
958,2,0.0
959,1,0.0
960,96,0.0183
961,5,0.0289
962,235,0.0207
963,1,0.0
964,11,0.0298
965,151,0.014
966,77,0.0305
967,1,0.0
968,60,0.0156
969,1,0.0
970,189,0.0042
971,181,0.0048
972,71,0.0225
973,131,0.0164
974,91,0.0091
975,1,0.0001
976,41,0.0074
977,128,0.0056
978,107,0.0205
979,116,0.0015
980,20,0.0193
981,887,0.001
982,142,0.0007
983,58,0.0397
984,1,0.0
985,91,0.024
986,93,0.0196
987,193,0.0113
988,1,0.0
989,2,0.0
990,103,0.028
991,22,0.0477
992,118,0.012
993,69,0.0096
994,1,0.0
995,150,0.0131
996,1,0.0
997,1,0.0
998,81,0.0297
999,1,0.0
1000,22,0.0035
